customer_id,email,name,country,signup_date,age,account_type,created_at
1,customer1@example.com,Customer 1,USA,2023-11-24,19,Enterprise,2023-11-24 00:00:00
2,customer2@example.com,Customer 2,UK,2023-05-21,32,Individual,2023-05-21 00:00:00
3,customer3@example.com,Customer 3,Australia,2023-02-22,65,Enterprise,2023-02-22 00:00:00
4,customer4@example.com,Customer 4,France,2023-02-14,45,Individual,2023-02-14 00:00:00
5,customer5@example.com,Customer 5,USA,2023-01-16,31,Individual,2023-01-16 00:00:00
6,customer6@example.com,Customer 6,France,2023-09-16,19,Enterprise,2023-09-16 00:00:00
7,customer7@example.com,Customer 7,Australia,2023-04-12,59,Enterprise,2023-04-12 00:00:00
8,customer8@example.com,Customer 8,Germany,2023-10-07,32,Business,2023-10-07 00:00:00
9,customer9@example.com,Customer 9,Canada,2023-10-29,69,Individual,2023-10-29 00:00:00
10,customer10@example.com,Customer 10,Australia,2023-03-23,45,Business,2023-03-23 00:00:00
11,customer11@example.com,Customer 11,UK,2023-05-23,31,Business,2023-05-23 00:00:00
12,customer12@example.com,Customer 12,USA,2023-02-22,42,Individual,2023-02-22 00:00:00
13,customer13@example.com,Customer 13,Canada,2023-07-03,56,Business,2023-07-03 00:00:00
14,customer14@example.com,Customer 14,Australia,2023-01-23,47,Enterprise,2023-01-23 00:00:00
15,customer15@example.com,Customer 15,Germany,2023-03-05,23,Enterprise,2023-03-05 00:00:00
16,customer16@example.com,Customer 16,Australia,2023-05-31,57,Business,2023-05-31 00:00:00
17,customer17@example.com,Customer 17,UK,2023-10-23,63,Individual,2023-10-23 00:00:00
18,customer18@example.com,Customer 18,Australia,2023-01-24,32,Business,2023-01-24 00:00:00
19,customer19@example.com,Customer 19,UK,2023-02-10,73,Individual,2023-02-10 00:00:00
20,customer20@example.com,Customer 20,Canada,2023-07-14,47,Enterprise,2023-07-14 00:00:00
21,customer21@example.com,Customer 21,UK,2023-07-06,41,Business,2023-07-06 00:00:00
22,customer22@example.com,Customer 22,Australia,2023-04-18,35,Enterprise,2023-04-18 00:00:00
23,customer23@example.com,Customer 23,Australia,2023-12-16,22,Enterprise,2023-12-16 00:00:00
24,customer24@example.com,Customer 24,UK,2023-11-22,52,Enterprise,2023-11-22 00:00:00
25,customer25@example.com,Customer 25,UK,2023-05-06,47,Business,2023-05-06 00:00:00
26,customer26@example.com,Customer 26,Australia,2023-05-19,62,Enterprise,2023-05-19 00:00:00
27,customer27@example.com,Customer 27,Australia,2023-04-23,38,Individual,2023-04-23 00:00:00
28,customer28@example.com,Customer 28,USA,2023-04-28,69,Business,2023-04-28 00:00:00
29,customer29@example.com,Customer 29,Canada,2023-07-25,22,Individual,2023-07-25 00:00:00
30,customer30@example.com,Customer 30,Australia,2023-10-18,38,Individual,2023-10-18 00:00:00
31,customer31@example.com,Customer 31,Germany,2023-12-02,43,Enterprise,2023-12-02 00:00:00
32,customer32@example.com,Customer 32,UK,2023-08-23,34,Individual,2023-08-23 00:00:00
33,customer33@example.com,Customer 33,Australia,2023-05-07,53,Enterprise,2023-05-07 00:00:00
34,customer34@example.com,Customer 34,Australia,2023-05-15,55,Business,2023-05-15 00:00:00
35,customer35@example.com,Customer 35,Germany,2023-10-26,41,Individual,2023-10-26 00:00:00
36,customer36@example.com,Customer 36,France,2023-03-12,49,Individual,2023-03-12 00:00:00
37,customer37@example.com,Customer 37,USA,2023-01-25,27,Enterprise,2023-01-25 00:00:00
38,customer38@example.com,Customer 38,Australia,2023-03-23,45,Enterprise,2023-03-23 00:00:00
39,customer39@example.com,Customer 39,Germany,2023-02-02,42,Enterprise,2023-02-02 00:00:00
40,customer40@example.com,Customer 40,France,2023-08-28,34,Enterprise,2023-08-28 00:00:00
41,customer41@example.com,Customer 41,Australia,2023-01-06,64,Individual,2023-01-06 00:00:00
42,customer42@example.com,Customer 42,France,2023-12-16,66,Business,2023-12-16 00:00:00
43,customer43@example.com,Customer 43,Canada,2023-11-25,25,Business,2023-11-25 00:00:00
44,customer44@example.com,Customer 44,UK,2023-08-11,47,Individual,2023-08-11 00:00:00
45,customer45@example.com,Customer 45,France,2023-05-15,66,Individual,2023-05-15 00:00:00
46,customer46@example.com,Customer 46,USA,2023-09-17,73,Enterprise,2023-09-17 00:00:00
47,customer47@example.com,Customer 47,Australia,2023-06-02,50,Enterprise,2023-06-02 00:00:00
48,customer48@example.com,Customer 48,UK,2023-04-12,41,Individual,2023-04-12 00:00:00
49,customer49@example.com,Customer 49,France,2023-10-04,18,Enterprise,2023-10-04 00:00:00
50,customer50@example.com,Customer 50,Germany,2023-06-15,19,Individual,2023-06-15 00:00:00
51,customer51@example.com,Customer 51,Canada,2023-07-05,33,Individual,2023-07-05 00:00:00
52,customer52@example.com,Customer 52,France,2023-05-04,23,Individual,2023-05-04 00:00:00
53,customer53@example.com,Customer 53,USA,2023-09-06,66,Enterprise,2023-09-06 00:00:00
54,customer54@example.com,Customer 54,UK,2023-03-06,60,Business,2023-03-06 00:00:00
55,customer55@example.com,Customer 55,UK,2023-10-09,34,Enterprise,2023-10-09 00:00:00
56,customer56@example.com,Customer 56,Germany,2023-11-07,31,Enterprise,2023-11-07 00:00:00
57,customer57@example.com,Customer 57,UK,2023-12-20,63,Business,2023-12-20 00:00:00
58,customer58@example.com,Customer 58,Australia,2023-07-24,59,Business,2023-07-24 00:00:00
59,customer59@example.com,Customer 59,France,2023-08-13,46,Individual,2023-08-13 00:00:00
60,customer60@example.com,Customer 60,UK,2023-05-07,22,Business,2023-05-07 00:00:00
61,customer61@example.com,Customer 61,France,2023-01-11,53,Individual,2023-01-11 00:00:00
